datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2026-03-16T00:00;10;100;0.0;0.0
2026-03-16T01:00;10;97;0.0;0.0
2026-03-16T02:00;10;98;0.0;0.0
2026-03-16T03:00;10;100;0.0;0.0
2026-03-16T04:00;10;100;0.0;0.0
2026-03-16T05:00;10;100;0.0;0.0
2026-03-16T06:00;10;100;0.0;0.0
2026-03-16T07:00;10;100;10.0;0.033
2026-03-16T08:00;30;76;71.5;0.371
2026-03-16T09:00;30;53;205.5;1.379
2026-03-16T10:00;10;100;383.2;2.976
2026-03-16T11:00;30;76;473.5;3.921
2026-03-16T12:00;10;88;351.5;2.89
2026-03-16T13:00;10;100;243.0;1.845
2026-03-16T14:00;10;100;274.8;1.768
2026-03-16T15:00;10;95;276.5;1.335
2026-03-16T16:00;30;54;190.0;0.549
2026-03-16T17:00;60;32;156.0;0.116
2026-03-16T18:00;30;75;48.0;0.0
2026-03-16T19:00;10;100;0.0;0.0
2026-03-16T20:00;100;10;0.0;0.0
2026-03-16T21:00;10;98;0.0;0.0
2026-03-16T22:00;10;100;0.0;0.0
2026-03-16T23:00;10;98;0.0;0.0
