datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2026-02-27T00:00;100;4;0.0;0.0
2026-02-27T01:00;100;2;0.0;0.0
2026-02-27T02:00;100;14;0.0;0.0
2026-02-27T03:00;30;55;0.0;0.0
2026-02-27T04:00;30;51;0.0;0.0
2026-02-27T05:00;10;96;0.0;0.0
2026-02-27T06:00;10;90;0.0;0.0
2026-02-27T07:00;10;92;0.0;0.0
2026-02-27T08:00;10;100;31.5;0.139
2026-02-27T09:00;10;100;117.5;0.699
2026-02-27T10:00;100;3;208.5;1.465
2026-02-27T11:00;100;0;381.0;2.885
2026-02-27T12:00;100;0;453.2;3.423
2026-02-27T13:00;100;0;471.8;3.287
2026-02-27T14:00;100;0;437.5;2.562
2026-02-27T15:00;100;0;357.8;1.537
2026-02-27T16:00;100;0;240.0;0.574
2026-02-27T17:00;100;0;106.2;0.03
2026-02-27T18:00;100;0;11.0;0.0
2026-02-27T19:00;100;0;0.0;0.0
2026-02-27T20:00;100;2;0.0;0.0
2026-02-27T21:00;100;6;0.0;0.0
2026-02-27T22:00;30;78;0.0;0.0
2026-02-27T23:00;60;31;0.0;0.0
