datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2026-02-17T00:00;10;100;0.0;0.0
2026-02-17T01:00;10;100;0.0;0.0
2026-02-17T02:00;10;99;0.0;0.0
2026-02-17T03:00;10;100;0.0;0.0
2026-02-17T04:00;10;94;0.0;0.0
2026-02-17T05:00;10;89;0.0;0.0
2026-02-17T06:00;10;100;0.0;0.0
2026-02-17T07:00;10;100;0.0;0.0
2026-02-17T08:00;10;100;15.0;0.06
2026-02-17T09:00;10;100;94.0;0.518
2026-02-17T10:00;10;100;195.0;1.285
2026-02-17T11:00;10;97;196.5;1.403
2026-02-17T12:00;10;100;238.5;1.701
2026-02-17T13:00;10;95;299.2;1.965
2026-02-17T14:00;10;100;215.0;1.178
2026-02-17T15:00;10;91;140.5;0.554
2026-02-17T16:00;10;92;84.2;0.174
2026-02-17T17:00;30;75;46.0;0.0
2026-02-17T18:00;30;62;2.0;0.0
2026-02-17T19:00;60;20;0.0;0.0
2026-02-17T20:00;30;67;0.0;0.0
2026-02-17T21:00;10;88;0.0;0.0
2026-02-17T22:00;10;100;0.0;0.0
2026-02-17T23:00;10;100;0.0;0.0
