datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2025-08-09T00:00;60;25;0.0;0.0
2025-08-09T01:00;30;59;0.0;0.0
2025-08-09T02:00;10;84;0.0;0.0
2025-08-09T03:00;10;94;0.0;0.0
2025-08-09T04:00;10;99;0.0;0.0
2025-08-09T05:00;10;99;0.0;0.0
2025-08-09T06:00;10;94;1.2;0.001
2025-08-09T07:00;10;100;39.5;0.113
2025-08-09T08:00;10;91;132.8;0.647
2025-08-09T09:00;30;74;299.2;1.996
2025-08-09T10:00;10;100;386.5;3.136
2025-08-09T11:00;10;100;351.2;3.196
2025-08-09T12:00;10;100;452.8;4.332
2025-08-09T13:00;10;89;492.0;4.663
2025-08-09T14:00;10;85;553.2;4.891
2025-08-09T15:00;10;97;441.8;3.402
2025-08-09T16:00;30;67;470.5;2.886
2025-08-09T17:00;60;41;425.2;1.805
2025-08-09T18:00;60;40;368.0;0.797
2025-08-09T19:00;60;40;203.5;0.008
2025-08-09T20:00;100;0;87.8;0.0
2025-08-09T21:00;100;5;6.8;0.0
2025-08-09T22:00;100;17;0.0;0.0
2025-08-09T23:00;100;0;0.0;0.0
