datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2026-04-25T00:00;30;52;0.0;0.0
2026-04-25T01:00;30;69;0.0;0.0
2026-04-25T02:00;30;62;0.0;0.0
2026-04-25T03:00;60;27;0.0;0.0
2026-04-25T04:00;30;75;0.0;0.0
2026-04-25T05:00;10;86;0.0;0.0
2026-04-25T06:00;30;65;0.0;0.0
2026-04-25T07:00;60;44;47.0;0.136
2026-04-25T08:00;100;6;179.0;0.883
2026-04-25T09:00;60;33;344.0;2.308
2026-04-25T10:00;30;74;506.0;4.107
2026-04-25T11:00;100;7;650.0;5.885
2026-04-25T12:00;100;0;762.0;7.206
2026-04-25T13:00;30;59;818.0;7.606
2026-04-25T14:00;10;100;813.0;6.984
2026-04-25T15:00;10;100;735.0;5.424
2026-04-25T16:00;10;100;596.0;3.426
2026-04-25T17:00;100;0;510.0;1.944
2026-04-25T18:00;100;0;377.0;0.641
2026-04-25T19:00;100;0;202.0;0.0
2026-04-25T20:00;100;0;53.0;0.0
2026-04-25T21:00;100;0;0.0;0.0
2026-04-25T22:00;100;0;0.0;0.0
2026-04-25T23:00;60;38;0.0;0.0
