datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2026-05-08T00:00;10;100;0.0;0.0
2026-05-08T01:00;10;97;0.0;0.0
2026-05-08T02:00;10;100;0.0;0.0
2026-05-08T03:00;10;100;0.0;0.0
2026-05-08T04:00;10;100;0.0;0.0
2026-05-08T05:00;10;99;0.0;0.0
2026-05-08T06:00;10;100;2.0;0.002
2026-05-08T07:00;10;100;15.0;0.049
2026-05-08T08:00;10;100;34.0;0.179
2026-05-08T09:00;10;95;162.0;1.133
2026-05-08T10:00;10;92;326.0;2.728
2026-05-08T11:00;10;90;517.0;4.795
2026-05-08T12:00;30;78;603.0;5.822
2026-05-08T13:00;10;99;659.0;6.252
2026-05-08T14:00;10;96;446.0;3.915
2026-05-08T15:00;10;91;518.0;3.925
2026-05-08T16:00;10;100;361.0;2.155
2026-05-08T17:00;30;78;153.0;0.621
2026-05-08T18:00;60;49;322.0;0.639
2026-05-08T19:00;30;59;179.0;0.0
2026-05-08T20:00;60;28;69.0;0.0
2026-05-08T21:00;60;21;4.0;0.0
2026-05-08T22:00;60;38;0.0;0.0
2026-05-08T23:00;60;34;0.0;0.0
