datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2026-02-20T00:00;10;100;0.0;0.0
2026-02-20T01:00;10;100;0.0;0.0
2026-02-20T02:00;10;100;0.0;0.0
2026-02-20T03:00;10;100;0.0;0.0
2026-02-20T04:00;10;100;0.0;0.0
2026-02-20T05:00;10;100;0.0;0.0
2026-02-20T06:00;10;100;0.0;0.0
2026-02-20T07:00;10;100;0.0;0.0
2026-02-20T08:00;10;100;24.5;0.101
2026-02-20T09:00;10;100;117.2;0.661
2026-02-20T10:00;10;100;182.2;1.224
2026-02-20T11:00;10;96;333.8;2.427
2026-02-20T12:00;10;100;404.8;2.939
2026-02-20T13:00;30;60;391.0;2.615
2026-02-20T14:00;30;60;419.0;2.344
2026-02-20T15:00;100;0;339.5;1.375
2026-02-20T16:00;30;62;219.0;0.475
2026-02-20T17:00;100;0;83.8;0.007
2026-02-20T18:00;100;0;4.2;0.0
2026-02-20T19:00;30;64;0.0;0.0
2026-02-20T20:00;30;65;0.0;0.0
2026-02-20T21:00;30;59;0.0;0.0
2026-02-20T22:00;10;100;0.0;0.0
2026-02-20T23:00;10;100;0.0;0.0
