datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2026-01-16T00:00;10;100;0.0;0.0
2026-01-16T01:00;10;100;0.0;0.0
2026-01-16T02:00;10;100;0.0;0.0
2026-01-16T03:00;10;100;0.0;0.0
2026-01-16T04:00;10;100;0.0;0.0
2026-01-16T05:00;10;100;0.0;0.0
2026-01-16T06:00;10;100;0.0;0.0
2026-01-16T07:00;10;100;0.0;0.0
2026-01-16T08:00;10;100;0.0;0.0
2026-01-16T09:00;10;100;17.0;0.077
2026-01-16T10:00;10;100;40.2;0.221
2026-01-16T11:00;10;100;78.5;0.47
2026-01-16T12:00;10;97;118.5;0.705
2026-01-16T13:00;10;100;136.2;0.731
2026-01-16T14:00;10;99;89.8;0.386
2026-01-16T15:00;10;100;61.5;0.173
2026-01-16T16:00;10;100;24.2;0.025
2026-01-16T17:00;10;100;1.2;0.0
2026-01-16T18:00;10;100;0.0;0.0
2026-01-16T19:00;10;100;0.0;0.0
2026-01-16T20:00;10;100;0.0;0.0
2026-01-16T21:00;10;98;0.0;0.0
2026-01-16T22:00;10;100;0.0;0.0
2026-01-16T23:00;10;88;0.0;0.0
