datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2025-07-09T00:00;60;46;0.0;0.0
2025-07-09T01:00;10;100;0.0;0.0
2025-07-09T02:00;10;89;0.0;0.0
2025-07-09T03:00;10;100;0.0;0.0
2025-07-09T04:00;10;100;0.0;0.0
2025-07-09T05:00;10;100;0.0;0.0
2025-07-09T06:00;10;89;19.8;0.026
2025-07-09T07:00;10;100;49.0;0.165
2025-07-09T08:00;10;87;141.2;0.751
2025-07-09T09:00;30;76;260.2;1.834
2025-07-09T10:00;10;95;381.5;3.217
2025-07-09T11:00;10;81;421.5;3.954
2025-07-09T12:00;10;89;294.5;2.894
2025-07-09T13:00;10;92;276.0;2.688
2025-07-09T14:00;10;87;326.8;2.983
2025-07-09T15:00;10;92;378.2;3.037
2025-07-09T16:00;10;100;270.5;1.765
2025-07-09T17:00;10;88;211.0;0.994
2025-07-09T18:00;10;80;224.5;0.609
2025-07-09T19:00;10;99;170.8;0.114
2025-07-09T20:00;10;95;35.2;0.0
2025-07-09T21:00;10;88;16.2;0.0
2025-07-09T22:00;10;84;0.0;0.0
2025-07-09T23:00;10;93;0.0;0.0
