datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2026-04-05T00:00;10;84;0.0;0.0
2026-04-05T01:00;60;41;0.0;0.0
2026-04-05T02:00;10;98;0.0;0.0
2026-04-05T03:00;60;22;0.0;0.0
2026-04-05T04:00;30;68;0.0;0.0
2026-04-05T05:00;100;16;0.0;0.0
2026-04-05T06:00;100;0;0.0;0.0
2026-04-05T07:00;30;64;5.5;0.012
2026-04-05T08:00;60;30;87.5;0.368
2026-04-05T09:00;60;37;236.2;1.429
2026-04-05T10:00;30;53;398.2;2.995
2026-04-05T11:00;100;0;541.0;4.609
2026-04-05T12:00;100;3;648.2;5.818
2026-04-05T13:00;100;0;703.5;6.232
2026-04-05T14:00;100;0;711.0;5.815
2026-04-05T15:00;100;17;670.8;4.682
2026-04-05T16:00;30;79;578.2;3.09
2026-04-05T17:00;10;100;406.8;1.377
2026-04-05T18:00;10;100;251.2;0.311
2026-04-05T19:00;30;69;98.8;0.0
2026-04-05T20:00;30;76;11.0;0.0
2026-04-05T21:00;10;97;0.0;0.0
2026-04-05T22:00;10;95;0.0;0.0
2026-04-05T23:00;10;100;0.0;0.0
