datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2025-08-27T00:00;10;100;0.0;0.0
2025-08-27T01:00;10;100;0.0;0.0
2025-08-27T02:00;100;0;0.0;0.0
2025-08-27T03:00;100;14;0.0;0.0
2025-08-27T04:00;10;100;0.0;0.0
2025-08-27T05:00;10;100;0.0;0.0
2025-08-27T06:00;10;100;0.0;0.0
2025-08-27T07:00;10;100;12.2;0.031
2025-08-27T08:00;10;100;54.8;0.25
2025-08-27T09:00;10;100;179.5;1.146
2025-08-27T10:00;10;100;223.5;1.75
2025-08-27T11:00;10;100;246.8;2.173
2025-08-27T12:00;10;100;214.0;1.978
2025-08-27T13:00;10;96;262.0;2.388
2025-08-27T14:00;10;91;476.8;4.018
2025-08-27T15:00;30;51;499.2;3.608
2025-08-27T16:00;100;0;577.5;3.232
2025-08-27T17:00;100;3;465.5;1.698
2025-08-27T18:00;100;12;318.0;0.481
2025-08-27T19:00;60;35;158.2;0.0
2025-08-27T20:00;30;67;32.0;0.0
2025-08-27T21:00;100;6;0.0;0.0
2025-08-27T22:00;10;86;0.0;0.0
2025-08-27T23:00;30;76;0.0;0.0
