datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2025-11-06T00:00;100;9;0.0;0.0
2025-11-06T01:00;100;17;0.0;0.0
2025-11-06T02:00;100;7;0.0;0.0
2025-11-06T03:00;100;0;0.0;0.0
2025-11-06T04:00;100;10;0.0;0.0
2025-11-06T05:00;100;0;0.0;0.0
2025-11-06T06:00;60;23;0.0;0.0
2025-11-06T07:00;30;57;0.0;0.0
2025-11-06T08:00;10;80;29.0;0.126
2025-11-06T09:00;30;78;116.8;0.656
2025-11-06T10:00;30;51;232.8;1.494
2025-11-06T11:00;30;70;287.2;1.919
2025-11-06T12:00;30;62;301.5;1.926
2025-11-06T13:00;100;0;322.2;1.793
2025-11-06T14:00;100;0;295.2;1.257
2025-11-06T15:00;100;0;200.0;0.514
2025-11-06T16:00;100;0;85.0;0.053
2025-11-06T17:00;100;0;6.5;0.0
2025-11-06T18:00;100;0;0.0;0.0
2025-11-06T19:00;100;0;0.0;0.0
2025-11-06T20:00;100;0;0.0;0.0
2025-11-06T21:00;100;0;0.0;0.0
2025-11-06T22:00;100;0;0.0;0.0
2025-11-06T23:00;100;0;0.0;0.0
