datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2025-12-15T00:00;10;100;0.0;0.0
2025-12-15T01:00;10;100;0.0;0.0
2025-12-15T02:00;10;100;0.0;0.0
2025-12-15T03:00;10;100;0.0;0.0
2025-12-15T04:00;10;100;0.0;0.0
2025-12-15T05:00;10;100;0.0;0.0
2025-12-15T06:00;10;100;0.0;0.0
2025-12-15T07:00;10;100;0.0;0.0
2025-12-15T08:00;10;100;0.0;0.0
2025-12-15T09:00;10;100;10.8;0.048
2025-12-15T10:00;10;100;39.8;0.213
2025-12-15T11:00;10;100;62.8;0.358
2025-12-15T12:00;10;100;84.5;0.466
2025-12-15T13:00;10;100;83.0;0.401
2025-12-15T14:00;10;100;58.0;0.213
2025-12-15T15:00;10;100;34.2;0.073
2025-12-15T16:00;10;100;9.0;0.003
2025-12-15T17:00;10;100;0.0;0.0
2025-12-15T18:00;10;100;0.0;0.0
2025-12-15T19:00;10;100;0.0;0.0
2025-12-15T20:00;10;100;0.0;0.0
2025-12-15T21:00;10;100;0.0;0.0
2025-12-15T22:00;10;100;0.0;0.0
2025-12-15T23:00;10;100;0.0;0.0
