datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2026-06-30T00:00;10;100;0.0;0.0
2026-06-30T01:00;10;100;0.0;0.0
2026-06-30T02:00;10;100;0.0;0.0
2026-06-30T03:00;10;100;0.0;0.0
2026-06-30T04:00;10;100;0.0;0.0
2026-06-30T05:00;10;100;0.0;0.0
2026-06-30T06:00;10;100;16.0;0.023
2026-06-30T07:00;10;100;38.0;0.133
2026-06-30T08:00;10;97;131.0;0.71
2026-06-30T09:00;10;97;276.0;1.968
2026-06-30T10:00;10;99;339.0;2.88
2026-06-30T11:00;10;97;324.0;3.054
2026-06-30T12:00;10;86;428.0;4.218
2026-06-30T13:00;10;91;512.0;4.995
2026-06-30T14:00;10;94;563.0;5.142
2026-06-30T15:00;30;77;627.0;5.036
2026-06-30T16:00;30;63;528.0;3.445
2026-06-30T17:00;30;66;539.0;2.542
2026-06-30T18:00;60;37;401.0;1.094
2026-06-30T19:00;30;63;287.0;0.2
2026-06-30T20:00;100;7;136.0;0.0
2026-06-30T21:00;100;2;40.0;0.0
2026-06-30T22:00;30;70;0.0;0.0
2026-06-30T23:00;30;62;0.0;0.0
