datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2025-11-23T00:00;100;0;0.0;0.0
2025-11-23T01:00;30;76;0.0;0.0
2025-11-23T02:00;100;0;0.0;0.0
2025-11-23T03:00;100;0;0.0;0.0
2025-11-23T04:00;100;0;0.0;0.0
2025-11-23T05:00;100;0;0.0;0.0
2025-11-23T06:00;100;0;0.0;0.0
2025-11-23T07:00;100;0;0.0;0.0
2025-11-23T08:00;100;0;7.2;0.027
2025-11-23T09:00;100;0;84.2;0.423
2025-11-23T10:00;100;0;187.2;1.09
2025-11-23T11:00;100;0;269.2;1.643
2025-11-23T12:00;100;0;309.5;1.809
2025-11-23T13:00;100;0;302.0;1.529
2025-11-23T14:00;100;0;248.0;0.946
2025-11-23T15:00;60;36;154.5;0.337
2025-11-23T16:00;100;16;46.0;0.015
2025-11-23T17:00;100;0;0.2;0.0
2025-11-23T18:00;100;0;0.0;0.0
2025-11-23T19:00;100;0;0.0;0.0
2025-11-23T20:00;100;0;0.0;0.0
2025-11-23T21:00;30;51;0.0;0.0
2025-11-23T22:00;10;100;0.0;0.0
2025-11-23T23:00;10;100;0.0;0.0
