datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2026-02-19T00:00;10;90;0.0;0.0
2026-02-19T01:00;30;74;0.0;0.0
2026-02-19T02:00;10;93;0.0;0.0
2026-02-19T03:00;30;58;0.0;0.0
2026-02-19T04:00;10;100;0.0;0.0
2026-02-19T05:00;10;100;0.0;0.0
2026-02-19T06:00;10;100;0.0;0.0
2026-02-19T07:00;10;100;0.0;0.0
2026-02-19T08:00;10;100;14.8;0.06
2026-02-19T09:00;10;100;69.5;0.389
2026-02-19T10:00;10;100;144.8;0.966
2026-02-19T11:00;10;95;248.5;1.796
2026-02-19T12:00;10;100;244.8;1.767
2026-02-19T13:00;10;97;254.5;1.692
2026-02-19T14:00;10;93;290.5;1.614
2026-02-19T15:00;60;48;270.5;1.086
2026-02-19T16:00;10;81;194.8;0.416
2026-02-19T17:00;10;100;72.0;0.004
2026-02-19T18:00;10;100;3.8;0.0
2026-02-19T19:00;10;100;0.0;0.0
2026-02-19T20:00;10;100;0.0;0.0
2026-02-19T21:00;10;100;0.0;0.0
2026-02-19T22:00;10;100;0.0;0.0
2026-02-19T23:00;10;100;0.0;0.0
