datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2026-02-23T00:00;10;100;0.0;0.0
2026-02-23T01:00;10;100;0.0;0.0
2026-02-23T02:00;10;100;0.0;0.0
2026-02-23T03:00;10;100;0.0;0.0
2026-02-23T04:00;10;100;0.0;0.0
2026-02-23T05:00;10;100;0.0;0.0
2026-02-23T06:00;10;100;0.0;0.0
2026-02-23T07:00;10;98;0.0;0.0
2026-02-23T08:00;10;100;28.2;0.12
2026-02-23T09:00;60;27;151.5;0.874
2026-02-23T10:00;60;21;276.8;1.896
2026-02-23T11:00;10;90;349.8;2.588
2026-02-23T12:00;10;83;393.5;2.906
2026-02-23T13:00;100;11;416.8;2.838
2026-02-23T14:00;10;100;215.8;1.232
2026-02-23T15:00;10;96;184.8;0.768
2026-02-23T16:00;10;97;127.2;0.288
2026-02-23T17:00;10;96;63.8;0.011
2026-02-23T18:00;10;93;4.5;0.0
2026-02-23T19:00;10;100;0.0;0.0
2026-02-23T20:00;10;86;0.0;0.0
2026-02-23T21:00;10;94;0.0;0.0
2026-02-23T22:00;10;100;0.0;0.0
2026-02-23T23:00;10;100;0.0;0.0
