datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2026-07-14T00:00;60;27;0.0;0.0
2026-07-14T01:00;100;0;0.0;0.0
2026-07-14T02:00;10;90;0.0;0.0
2026-07-14T03:00;10;81;0.0;0.0
2026-07-14T04:00;30;77;0.0;0.0
2026-07-14T05:00;30;66;0.0;0.0
2026-07-14T06:00;10;100;17.0;0.021
2026-07-14T07:00;10;100;80.0;0.264
2026-07-14T08:00;10;100;155.0;0.816
2026-07-14T09:00;10;100;201.0;1.407
2026-07-14T10:00;10;89;227.0;1.905
2026-07-14T11:00;30;78;582.0;5.442
2026-07-14T12:00;10;100;648.0;6.353
2026-07-14T13:00;30;78;661.0;6.427
2026-07-14T14:00;10;100;682.0;6.215
2026-07-14T15:00;10;100;607.0;4.865
2026-07-14T16:00;10;100;498.0;3.239
2026-07-14T17:00;10;100;311.0;1.457
2026-07-14T18:00;10;100;123.0;0.329
2026-07-14T19:00;10;99;70.0;0.044
2026-07-14T20:00;10;100;90.0;0.0
2026-07-14T21:00;10;100;8.0;0.0
2026-07-14T22:00;10;100;0.0;0.0
2026-07-14T23:00;10;100;0.0;0.0
