datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2026-03-22T00:00;100;0;0.0;0.0
2026-03-22T01:00;100;0;0.0;0.0
2026-03-22T02:00;100;0;0.0;0.0
2026-03-22T03:00;100;0;0.0;0.0
2026-03-22T04:00;100;0;0.0;0.0
2026-03-22T05:00;60;36;0.0;0.0
2026-03-22T06:00;60;37;0.0;0.0
2026-03-22T07:00;100;0;32.8;0.118
2026-03-22T08:00;60;32;161.2;0.881
2026-03-22T09:00;100;0;316.8;2.208
2026-03-22T10:00;60;45;464.0;3.717
2026-03-22T11:00;100;0;571.2;4.86
2026-03-22T12:00;100;0;635.8;5.361
2026-03-22T13:00;100;0;646.0;5.03
2026-03-22T14:00;60;32;560.5;3.707
2026-03-22T15:00;10;100;393.5;1.966
2026-03-22T16:00;10;100;196.0;0.597
2026-03-22T17:00;10;93;112.2;0.101
2026-03-22T18:00;60;21;45.0;0.0
2026-03-22T19:00;10;85;1.2;0.0
2026-03-22T20:00;60;49;0.0;0.0
2026-03-22T21:00;100;8;0.0;0.0
2026-03-22T22:00;60;38;0.0;0.0
2026-03-22T23:00;100;0;0.0;0.0
