datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2025-10-13T00:00;10;100;0.0;0.0
2025-10-13T01:00;10;100;0.0;0.0
2025-10-13T02:00;10;100;0.0;0.0
2025-10-13T03:00;10;100;0.0;0.0
2025-10-13T04:00;10;100;0.0;0.0
2025-10-13T05:00;10;100;0.0;0.0
2025-10-13T06:00;10;100;0.0;0.0
2025-10-13T07:00;10;100;0.0;0.0
2025-10-13T08:00;10;100;5.8;0.02
2025-10-13T09:00;10;89;24.5;0.127
2025-10-13T10:00;10;95;118.5;0.773
2025-10-13T11:00;10;94;267.0;1.969
2025-10-13T12:00;30;78;297.2;2.279
2025-10-13T13:00;10;88;358.5;2.651
2025-10-13T14:00;10;86;381.5;2.504
2025-10-13T15:00;30;54;343.8;1.801
2025-10-13T16:00;10;100;260.2;0.913
2025-10-13T17:00;60;36;134.5;0.201
2025-10-13T18:00;100;8;61.8;0.0
2025-10-13T19:00;60;30;1.2;0.0
2025-10-13T20:00;30;61;0.0;0.0
2025-10-13T21:00;10;80;0.0;0.0
2025-10-13T22:00;10;100;0.0;0.0
2025-10-13T23:00;10;100;0.0;0.0
