datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2025-10-29T00:00;10;99;0.0;0.0
2025-10-29T01:00;10;100;0.0;0.0
2025-10-29T02:00;30;69;0.0;0.0
2025-10-29T03:00;10;87;0.0;0.0
2025-10-29T04:00;10;84;0.0;0.0
2025-10-29T05:00;60;43;0.0;0.0
2025-10-29T06:00;10;100;0.0;0.0
2025-10-29T07:00;10;83;0.8;0.002
2025-10-29T08:00;60;41;50.5;0.234
2025-10-29T09:00;60;47;149.5;0.886
2025-10-29T10:00;60;41;277.5;1.869
2025-10-29T11:00;10;100;366.5;2.566
2025-10-29T12:00;30;75;393.8;2.641
2025-10-29T13:00;60;21;382.8;2.247
2025-10-29T14:00;60;32;344.8;1.569
2025-10-29T15:00;30;57;239.5;0.68
2025-10-29T16:00;10;85;109.0;0.094
2025-10-29T17:00;30;50;16.5;0.0
2025-10-29T18:00;10;100;0.0;0.0
2025-10-29T19:00;10;100;0.0;0.0
2025-10-29T20:00;10;100;0.0;0.0
2025-10-29T21:00;10;100;0.0;0.0
2025-10-29T22:00;10;100;0.0;0.0
2025-10-29T23:00;10;100;0.0;0.0
