datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2025-10-03T00:00;60;39;0.0;0.0
2025-10-03T01:00;60;38;0.0;0.0
2025-10-03T02:00;60;42;0.0;0.0
2025-10-03T03:00;60;31;0.0;0.0
2025-10-03T04:00;60;44;0.0;0.0
2025-10-03T05:00;30;51;0.0;0.0
2025-10-03T06:00;30;68;0.0;0.0
2025-10-03T07:00;10;85;0.0;0.0
2025-10-03T08:00;60;35;26.5;0.099
2025-10-03T09:00;100;0;155.5;0.856
2025-10-03T10:00;100;3;304.0;2.089
2025-10-03T11:00;100;5;432.8;3.355
2025-10-03T12:00;60;33;525.2;4.242
2025-10-03T13:00;60;44;552.8;4.326
2025-10-03T14:00;10;82;525.8;3.689
2025-10-03T15:00;30;70;391.8;2.234
2025-10-03T16:00;100;0;370.5;1.472
2025-10-03T17:00;100;12;266.8;0.521
2025-10-03T18:00;100;0;119.2;0.0
2025-10-03T19:00;100;0;12.2;0.0
2025-10-03T20:00;100;0;0.0;0.0
2025-10-03T21:00;60;36;0.0;0.0
2025-10-03T22:00;100;0;0.0;0.0
2025-10-03T23:00;100;0;0.0;0.0
