datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2025-08-12T00:00;100;0;0.0;0.0
2025-08-12T01:00;100;0;0.0;0.0
2025-08-12T02:00;100;0;0.0;0.0
2025-08-12T03:00;100;0;0.0;0.0
2025-08-12T04:00;100;0;0.0;0.0
2025-08-12T05:00;100;0;0.0;0.0
2025-08-12T06:00;100;0;0.8;0.001
2025-08-12T07:00;100;0;51.8;0.145
2025-08-12T08:00;100;0;178.8;0.863
2025-08-12T09:00;100;0;335.0;2.22
2025-08-12T10:00;100;0;494.8;3.994
2025-08-12T11:00;100;0;633.2;5.737
2025-08-12T12:00;100;0;735.0;6.999
2025-08-12T13:00;100;0;791.0;7.459
2025-08-12T14:00;100;0;797.8;7.01
2025-08-12T15:00;100;0;758.0;5.789
2025-08-12T16:00;100;0;666.8;4.041
2025-08-12T17:00;100;0;539.2;2.244
2025-08-12T18:00;100;0;390.8;0.81
2025-08-12T19:00;100;0;229.0;0.0
2025-08-12T20:00;100;0;82.2;0.0
2025-08-12T21:00;100;0;4.5;0.0
2025-08-12T22:00;100;0;0.0;0.0
2025-08-12T23:00;100;0;0.0;0.0
