datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2026-07-17T00:00;10;100;0.0;0.0
2026-07-17T01:00;10;100;0.0;0.0
2026-07-17T02:00;10;100;0.0;0.0
2026-07-17T03:00;10;100;0.0;0.0
2026-07-17T04:00;10;100;0.0;0.0
2026-07-17T05:00;10;100;0.0;0.0
2026-07-17T06:00;10;100;7.0;0.008
2026-07-17T07:00;10;91;64.0;0.208
2026-07-17T08:00;10;100;125.0;0.653
2026-07-17T09:00;10;100;388.0;2.703
2026-07-17T10:00;10;100;526.0;4.401
2026-07-17T11:00;10;100;642.0;5.99
2026-07-17T12:00;10;100;612.0;5.99
2026-07-17T13:00;10;100;529.0;5.136
2026-07-17T14:00;10;100;490.0;4.458
2026-07-17T15:00;10;100;338.0;2.704
2026-07-17T16:00;10;100;298.0;1.933
2026-07-17T17:00;10;92;291.0;1.356
2026-07-17T18:00;10;100;165.0;0.437
2026-07-17T19:00;30;56;138.0;0.081
2026-07-17T20:00;60;42;129.0;0.0
2026-07-17T21:00;60;28;30.0;0.0
2026-07-17T22:00;100;5;0.0;0.0
2026-07-17T23:00;10;100;0.0;0.0
