datetime;sun_pct;cloudcover_pct;shortwave_wm2;pv_estimate_kwh
2025-12-29T00:00;100;0;0.0;0.0
2025-12-29T01:00;100;0;0.0;0.0
2025-12-29T02:00;100;0;0.0;0.0
2025-12-29T03:00;100;0;0.0;0.0
2025-12-29T04:00;100;0;0.0;0.0
2025-12-29T05:00;100;0;0.0;0.0
2025-12-29T06:00;100;0;0.0;0.0
2025-12-29T07:00;100;0;0.0;0.0
2025-12-29T08:00;100;0;0.0;0.0
2025-12-29T09:00;10;85;20.0;0.087
2025-12-29T10:00;10;97;62.2;0.328
2025-12-29T11:00;10;96;93.2;0.531
2025-12-29T12:00;10;89;119.0;0.664
2025-12-29T13:00;10;93;131.8;0.652
2025-12-29T14:00;10;91;107.0;0.41
2025-12-29T15:00;10;100;56.0;0.13
2025-12-29T16:00;10;100;13.2;0.008
2025-12-29T17:00;10;100;0.0;0.0
2025-12-29T18:00;10;100;0.0;0.0
2025-12-29T19:00;10;100;0.0;0.0
2025-12-29T20:00;10;100;0.0;0.0
2025-12-29T21:00;10;100;0.0;0.0
2025-12-29T22:00;10;100;0.0;0.0
2025-12-29T23:00;10;98;0.0;0.0
