00:00;92,59
00:15;73,61
00:30;63,04
00:45;60,00
01:00;79,34
01:15;71,78
01:30;66,01
01:45;53,86
02:00;59,45
02:15;49,46
02:30;53,53
02:45;74,51
03:00;80,00
03:15;76,00
03:30;75,00
03:45;74,01
04:00;73,00
04:15;73,51
04:30;74,51
04:45;105,00
05:00;73,01
05:15;54,39
05:30;54,00
05:45;73,50
06:00;41,55
06:15;75,00
06:30;94,99
06:45;122,46
07:00;100,00
07:15;97,12
07:30;104,99
07:45;77,89
08:00;55,78
08:15;48,89
08:30;32,63
08:45;14,40
09:00;53,61
09:15;39,32
09:30;28,00
09:45;20,27
10:00;23,72
10:15;18,08
10:30;16,40
10:45;15,00
11:00;15,00
11:15;15,06
11:30;15,00
11:45;17,97
12:00;14,85
12:15;18,00
12:30;24,78
12:45;26,43
13:00;20,25
13:15;25,40
13:30;39,00
13:45;41,37
14:00;44,57
14:15;57,79
14:30;78,66
14:45;94,99
15:00;63,00
15:15;99,93
15:30;141,91
15:45;155,17
16:00;80,65
16:15;74,50
16:30;75,67
16:45;80,17
17:00;85,32
17:15;94,99
17:30;99,69
17:45;100,00
18:00;81,92
18:15;87,13
18:30;88,52
18:45;81,93
19:00;80,92
19:15;94,99
19:30;83,52
19:45;84,77
20:00;86,38
20:15;84,97
20:30;81,20
20:45;73,55
21:00;80,95
21:15;78,84
21:30;76,18
21:45;78,30
22:00;84,26
22:15;90,91
22:30;80,45
22:45;70,03
23:00;90,49
23:15;82,58
23:30;71,08
23:45;69,68
