00:00;108,44
00:15;100,64
00:30;96,22
00:45;95,48
01:00;104,51
01:15;98,70
01:30;97,53
01:45;94,17
02:00;100,78
02:15;98,99
02:30;99,37
02:45;97,75
03:00;93,62
03:15;97,13
03:30;95,54
03:45;98,74
04:00;98,85
04:15;98,69
04:30;98,00
04:45;97,71
05:00;96,83
05:15;95,41
05:30;99,89
05:45;99,88
06:00;94,47
06:15;96,68
06:30;95,81
06:45;101,22
07:00;99,45
07:15;100,96
07:30;105,09
07:45;107,81
08:00;105,27
08:15;107,68
08:30;109,56
08:45;108,63
09:00;111,67
09:15;110,25
09:30;109,54
09:45;109,92
10:00;115,48
10:15;110,69
10:30;109,85
10:45;107,94
11:00;112,02
11:15;110,07
11:30;108,50
11:45;107,89
12:00;114,87
12:15;106,29
12:30;107,96
12:45;105,08
13:00;102,81
13:15;100,16
13:30;99,64
13:45;99,76
14:00;100,38
14:15;101,33
14:30;103,90
14:45;104,72
15:00;103,45
15:15;107,65
15:30;111,90
15:45;114,76
16:00;106,50
16:15;112,34
16:30;116,17
16:45;126,37
17:00;124,35
17:15;127,01
17:30;133,16
17:45;137,42
18:00;133,65
18:15;134,24
18:30;143,29
18:45;139,58
19:00;142,39
19:15;137,22
19:30;137,99
19:45;134,83
20:00;132,64
20:15;133,47
20:30;124,86
20:45;116,48
21:00;122,15
21:15;118,75
21:30;112,09
21:45;102,81
22:00;122,93
22:15;113,91
22:30;115,80
22:45;109,20
23:00;117,85
23:15;109,51
23:30;107,22
23:45;100,29
